FinalIDassigned,BCG,Habitat,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,OxygenRequirements,Salinity,Saprobity,TrophicState,ZHR,CRUS,Green,Salinity2,NitrogenUptakeMetabolism2,Phylum,Class,Order,Family,Genus,Notes
Diadesmis templiniana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Diadesmidaceae,Diadesmis,
Diatoma,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma,
Diatoma anceps,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma,
Diatoma anceps var linearis,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma,
Diatoma ehrenbergii,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma,
Diatoma elongatum,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma,
Diatoma hiemale,NA,NA,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma,
Diatoma hiemalis,NA,BN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma,
Diatoma mesodon,2,BN,NA,NA,NA,NA,low,low,NM,NALON,DO_100,F,OS,M,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma,
Diatoma moniliforme,3,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma,
Diatoma problematica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma,
Diatoma tenuis,2,BN,NA,NA,NA,NA,NA,NA,NM,NAHON,DO_50,BF,AM,E,NA,NA,NA,Halo,NAHON,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma,
Diatoma vulgaris,3,BN,NA,NA,NA,NA,NA,NA,NM,NAHON,DO_75,FB,BM,ME,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma,
Diatoma vulgaris var linearis,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Tabellariales,Tabellariaceae,Diatoma,
Diatomella,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Diatomella,
Diatomella balfouriana,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Pinnulariaceae,Diatomella,
Dichothrix,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Dichothrix,
Dichothrix compacta,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Dichothrix,
Dichothrix gypsophila,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Dichothrix,
Dichothrix hosfordii,NA,NA,Yes,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Dichothrix,
Dichothrix orsiniana,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Rivulariaceae,Dichothrix,
Dictyosphaerium,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Dictyosphaerium,
Dictyosphaerium ehrenbergianum,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Dictyosphaerium,
Dictyosphaerium pulchellum,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Trebouxiophyceae,Chlorellales,Chlorellaceae,Dictyosphaerium,
Didymosphenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Didymosphenia,
Didymosphenia geminata,2,BN,NA,NA,NA,NA,low,low,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Didymosphenia,
Dinobryaceae,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,NA,
Dinobryon,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,
Dinobryon divergens,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,
Dinophyceae,NA,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Miozoa,Dinophyceae,NA,NA,NA,
Diploneis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
Diploneis aestuari,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
Diploneis boldtiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
Diploneis elliptica,3,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,FB,OS,M,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
Diploneis finnica,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
Diploneis interrupta,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
Diploneis marginestriata,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,F,OS,NA,NA,NA,NA,F,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
Diploneis modica,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
Diploneis oblongella,3,BN,NA,NA,NA,NA,low,low,MM,NALON,DO_100,FB,OS,NA,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
Diploneis oculata,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
Diploneis ovalis,3,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,FB,OS,NA,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
Diploneis parma,3,BN,NA,NA,NA,NA,low,low,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
Diploneis pseudovalis,3,BN,NA,NA,NA,NA,NA,low,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
Diploneis puella,NA,BN,NA,NA,NA,NA,NA,high,MM,NALON,DO_100,FB,OS,M,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
Diploneis separanda,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
Diploneis smithii,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
Diploneis subovalis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Diploneidaceae,Diploneis,
Discostella,NA,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Discostella,
Discostella pseudostelligera,4,P,NA,NA,NA,NA,high,high,NM,NAHON,DO_50,FB,AM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Discostella,
Discostella stelligera,3,P,NA,NA,NA,NA,high,high,NM,NA,NA,FB,NA,NA,NA,NA,NA,FB,NA,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Discostella,
Discostella woltereckii,NA,P,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaeae,Discostella,
Dolichospermum,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Dolichospermum,
Dolichospermum flosaquae,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Dolichospermum,
Dolichospermum lemmermannii,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,
Dolichospermum planctonicum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Dolichospermum,
Dolichospermum solitarium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,Dolichospermum,
Draparnaldia,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Draparnaldia,
Draparnaldia glomerata,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Draparnaldia,
Draparnaldia mutabilis,NA,NA,No,NI,NA,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Draparnaldia,
Draparnaldiopsis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Draparnaldiopsis,
Draparnaldiopsis alpinis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Chaetophorales,Chaetophoraceae,Draparnaldiopsis,
Elakatothrix,NA,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Charophyta,Klebsormidiophyceae,Klebsormidiales,Elakatotrichaceae,Elakatothrix,
Ellerbeckia,NA,BN,NA,NA,NA,NA,NA,NA,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Coscinodiscophyceae,Paraliales,Paraliaceae,Ellerbeckia,
Ellerbeckia arenaria,NA,BN,NA,NA,NA,NA,NA,NA,NM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Coscinodiscophyceae,Paraliales,Paraliaceae,Ellerbeckia,
Encyonema,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema auerswaldii,NA,BN,NA,NA,NA,NA,low,low,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema caespitosum,NA,BN,NA,NA,NA,NA,low,low,MM,NA,NA,FB,AM,I,NA,NA,NA,FB,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema elginense,2,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema evergladianum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema gracile,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema hamsherae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema hebridicum,NA,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema hilliardii,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema lacustre,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema latens,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema latum,1,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema lunatum,2,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema mesianum,3,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema minutum,3,BN,NA,NA,NA,NA,low,low,MM,NA,NA,FB,NA,NA,NA,NA,NA,FB,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema muelleri,2,BN,NA,NA,NA,NA,low,low,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema neogracile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema norvegicum,NA,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema obscurum,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema pergracile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema perpusillum,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema prostratum,NA,BN,NA,NA,NA,NA,NA,low,MM,NALON,DO_100,FB,BM,E,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema reichardtii,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema silesiacum,2,BN,NA,NA,NA,NA,low,low,MM,NAHON,DO_50,FB,AM,I,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema triangulum,2,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonema yellowstonianum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonema,
Encyonopsis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis,
Encyonopsis cesatiformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis,
Encyonopsis cesatii,2,BN,NA,NA,NA,NA,low,low,MM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis,
Encyonopsis descripta,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis,
Encyonopsis falaisensis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,F,OS,OM,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis,
Encyonopsis hustedtii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis,
Encyonopsis krammeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis,
Encyonopsis microcephala,3,BN,NA,NA,NA,NA,low,low,MM,NALON,DO_100,FB,OS,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis,
Encyonopsis montana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis,
Encyonopsis subminuta,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Encyonopsis,
Entomoneis,NA,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Entomoneis,
Entomoneis alata,NA,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Entomoneis,
Entomoneis costata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Entomoneis,
Entomoneis ornata,NA,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Entomoneis,
Entomoneis paludosa,4,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,BF,OS,NA,NA,NA,NA,Halo,NA,Bacillariophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Entomoneis,
Eolimna,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Eolimna,
Eolimna minima,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Eolimna,
Eolimna muraloides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Eolimna,
Eolimna subadnata,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Eolimna,
Eolimna subminuscula,5,BN,NA,NA,NA,NA,high,high,MM,NHHONO,DO_30,FB,AMPS,E,NA,NA,NA,FB,Heterotroph,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Eolimna,
Eolimna tantula,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Eolimna,
Epipyxis,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Epipyxis,
Epipyxis utriculus,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Epipyxis,
Epithemia,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,
Epithemia adnata,2,BN,NA,NA,NA,NA,low,low,MM,NALON,DO_75,FB,BM,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,
Epithemia adnata var proboscidea,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,
Epithemia argus,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,FB,OS,M,NA,NA,NA,FB,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,
Epithemia argus var alpestris,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,
Epithemia frickei,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,FB,NA,NA,NA,NA,NA,FB,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,
Epithemia hyndmanii,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,
Epithemia sorex,2,BN,NA,NA,NA,NA,low,low,MM,NALON,DO_75,FB,BM,E,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,
Epithemia turgida,2,BN,NA,NA,NA,NA,low,low,MM,NALON,DO_75,FB,BM,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,
Epithemia turgida var granulata,NA,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_75,FB,BM,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,
Epithemia turgida var westermannii,2,BN,NA,NA,NA,NA,low,low,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Rhopalodiales,Rhopalodiaceae,Epithemia,
Ercegovicia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Pleurocapsales,Hyellaceae,Ercegovicia,
Euastrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Euastrum,
