,FinalIDassigned,BCG,Habitat,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,OxygenRequirements,Salinity,Saprobity,TrophicState,ZHR,CRUS,Green,Salinity2,NitrogenUptakeMetabolism2,Phylum,Class,Order,Family,Genus,Notes,TAXON.orig,TAXON,BC_1,BC_2,BC_3,BC_4,BC_5,TROPHIC_1,TROPHIC_2,TROPHIC_3,TROPHIC_4,TROPHIC_5,TROPHIC_6,TROPHIC_7,SAP_1,SAP_2,SAP_3,SAP_4,SAP_5,PT_1,PT_2,PT_3,PT_4,PT_5,O_1,O_2,O_3,O_4,O_5,SALINITY_1,SALINITY_2,SALINITY_3,SALINITY_4,Bahls_1,Bahls_2,Bahls_3,LOW_P,HIGH_P,LOW_N,HIGH_N,BENTHIC_HABIT,SESTONIC_HABIT,N_FIXER,NON_N_FIXER,NON_MOTILE,WEAKLY_MOTILE,SLIGHTLY_MOTILE,MODERATELY_MOTILE,HIGHLY_MOTILE,VERY_SMALL,SMALL,MEDIUM,BIG,VERY_BIG,ACHNANTHIDIUM,ACHNANTHIDIAE,BACILLARIACEAE,NAVICULA,STALKED,ADNATE,HIGHLY_MOTILE.1,ARAPHID,CENTRIC
435,Chamaepinnularia soehrensis var hassica,NA,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,Chamaepinnularia soehrensis var muscicola,NA,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Chamaepinnularia,NA,Chamaepinnularia_soehrensis_var._muscicola,Chamaepinnularia soehrensis var muscicola,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
437,Chamaepinnularia sp. 1 PNSQA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamaepinnularia_sp._1_PNSQA,Chamaepinnularia sp. 1 PNSQA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
438,Chamaepinnularia sp. 2 PNSQA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamaepinnularia_sp._2_PNSQA,Chamaepinnularia sp. 2 PNSQA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
439,Chamaepinnularia sp. 400 NESQA2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamaepinnularia_sp._400_NESQA2016,Chamaepinnularia sp. 400 NESQA2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
440,Chamaepinnularia submuscicola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chamaepinnularia_submuscicola,Chamaepinnularia submuscicola,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
441,Chamaesiphon,2,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,Chamaesiphon amethystinus,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,Chamaesiphon confervicola,2,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
444,Chamaesiphon incrustans,2,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,Chamaesiphon investiens,3,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,Chamaesiphon minimus,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,Chamaesiphon minutus,2,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
448,Chamaesiphon niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
449,Chamaesiphon polymorphus,2,NA,No,low,NI,RF,NI,low,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,Chamaesiphon starmachii,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,Chamaesiphon subglobosus,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Cyanobacteria,Cyanophyceae,Synechococcales,Chamaesiphonaceae,Chamaesiphon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
452,Chantransia,3,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,yes,no,no,NA,NA,Rhodophyta,Florideophyceae,Batrachospermales,Lemaneaceae,Chantransia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
453,Chara,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Charophyta,Charophyceae,Charales,Characeae,Chara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
454,Chara canescens,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Charophyta,Charophyceae,Charales,Characeae,Chara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
455,Chara contraria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Charophyta,Charophyceae,Charales,Characeae,Chara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,Chara globularis,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Charophyta,Charophyceae,Charales,Characeae,Chara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457,Chara vulgaris,3,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Charophyta,Charophyceae,Charales,Characeae,Chara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,Chara zeylanica,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Charophyta,Charophyceae,Charales,Characeae,Chara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
459,Characiopsis,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Ochrophyta,Xanthophyceae,Mischococcales,Characiopsidaceae,Characiopsis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460,Characiopsis longipes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Ochrophyta,Xanthophyceae,Mischococcales,Characiopsidaceae,Characiopsis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
461,Characiopsis minor,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Ochrophyta,Xanthophyceae,Mischococcales,Characiopsidaceae,Characiopsis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
462,Characiopsis minuta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Ochrophyta,Xanthophyceae,Mischococcales,Characiopsidaceae,Characiopsis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
463,Characiopsis subulata,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,NA,NA,Ochrophyta,Xanthophyceae,Mischococcales,Characiopsidaceae,Characiopsis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,Characium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Characiaceae,Characium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465,Characium ambiguum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Characiaceae,Characium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,Characium pringsheimii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Sphaeropleales,Characiaceae,Characium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
467,Chlamydocapsa,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellopsidaceae,Chlamydocapsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,Chlamydocapsa ampla,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellopsidaceae,Chlamydocapsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,Chlamydomonadales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Chlamydomonadales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,Chlamydomonadopsis,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Tetrasporales,Chlorangiellaceae,Chlamydomonadopsis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471,Chlamydomonas,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
472,Chlamydomonas ambigua,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
473,Chlamydomonas bicocca,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
474,Chlamydomonas debaryana,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,Chlamydomonas ehrenbergii,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
476,Chlamydomonas globosa,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,Chlamydomonas gloeopara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,Chlamydomonas pila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,Chlamydomonas pseudopertyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Chlorophyceae,Volvocales,Chlamydomonadaceae,Chlamydomonas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
